City,Neighborhood,Latitude/Longitude,Latitude,Longitude
Raleigh,Ammondale,"[35.86900895, -78.63600320702446]",35.86900895,-78.63600320702446
Raleigh,Anderson Forest,"[35.82333155, -78.63084083091695]",35.82333155,-78.63084083091695
Raleigh,Anderson Heights,"[35.8178634, -78.63778241964707]",35.8178634,-78.63778241964707
Raleigh,Andrews Hills,"[35.68651225, -78.74213484398943]",35.68651225,-78.74213484398943
Raleigh,Antelope Point,"[nan, nan]",,
Raleigh,Appollo Heights,"[nan, nan]",,
Raleigh,Arbor Chase,"[35.8412972, -78.55481151479466]",35.8412972,-78.55481151479466
Raleigh,Arbor Ridge,"[35.9790361, -78.6976453396782]",35.9790361,-78.6976453396782
Raleigh,Arbor at Harrington Grove,"[35.9309777, -78.74886154625169]",35.9309777,-78.74886154625169
Raleigh,Arden Forest,"[35.82661625, -78.71717398931403]",35.82661625,-78.71717398931403
Raleigh,Arlington Hills,"[35.861393750000005, -78.67260457807733]",35.861393750000005,-78.67260457807733
Raleigh,Arlington Place,"[nan, nan]",,
Raleigh,Arnold Hills North,"[35.9692237, -78.67945794869377]",35.9692237,-78.67945794869377
Raleigh,Arrowspring,"[35.728557, -78.4716]",35.728557,-78.4716
Raleigh,Arrowwood Hills,"[nan, nan]",,
Raleigh,Asbury Park,"[nan, nan]",,
Raleigh,Ashebrook,"[35.86436075, -78.63328788918884]",35.86436075,-78.63328788918884
Raleigh,Ashebrook,"[35.86436075, -78.63328788918884]",35.86436075,-78.63328788918884
Raleigh,Ashland Place,"[nan, nan]",,
Raleigh,Ashleigh Place Townhomes,"[nan, nan]",,
Raleigh,Ashley Park,"[35.91412415, -78.78651673653742]",35.91412415,-78.78651673653742
Raleigh,Ashley Place,"[35.8121355, -78.56818583165335]",35.8121355,-78.56818583165335
Raleigh,Ashley Ridge,"[35.86910825, -78.66866245538456]",35.86910825,-78.66866245538456
Raleigh,Ashton Hall,"[nan, nan]",,
Raleigh,Ashworth Estate,"[nan, nan]",,
Raleigh,Ashworth Townes,"[35.781695299999996, -78.71350214218671]",35.781695299999996,-78.71350214218671
Raleigh,Athens,"[35.76804555, -78.71077259832518]",35.76804555,-78.71077259832518
Raleigh,Atherton,"[35.92492705, -78.69948829310445]",35.92492705,-78.69948829310445
Raleigh,Atkins Farms Inc,"[nan, nan]",,
Raleigh,Auburn Estates,"[nan, nan]",,
Raleigh,Auburn Hills,"[35.7409437, -78.50191384781333]",35.7409437,-78.50191384781333
